Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,XRP_open,XRP_close,XRP_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_XRP_change_1hr,perc_XRP_change_2hr,perc_XRP_change_3hr,perc_XRP_change_4hr,perc_XRP_change_5hr,perc_XRP_change_6hr,lag_time,met_threshold
28584,2020-03-13 09:00:00,5363.06,5754.07,50185678.4,0.1501,0.1602,2941577.49,7.290800401263445,5.677575285632678,9.024644878424017,15.100276445337022,18.44938995395063,7.364070604918463,6.728847435043303,3.354838709677426,8.4631008801625,13.375796178343949,19.107806691449813,9.276944065484312,,
28584,2020-03-13 09:00:00,5363.06,5754.07,50185678.4,0.1501,0.1602,2941577.49,7.290800401263445,5.677575285632678,9.024644878424017,15.100276445337022,18.44938995395063,7.364070604918463,6.728847435043303,3.354838709677426,8.4631008801625,13.375796178343949,19.107806691449813,9.276944065484312,0 days 00:00:00,1.0
28585,2020-03-13 10:00:00,5754.07,5638.55,51506629.73,0.1602,0.1564,2783201.37,-2.0076224307316304,5.136806226296177,3.555968579945011,6.835841652819273,12.78949747758632,16.071373432170336,-2.372034956304618,4.197201865423051,0.9032258064516208,5.890318212593104,10.686482661004955,16.28252788104089,,
28585,2020-03-13 10:00:00,5754.07,5638.55,51506629.73,0.1602,0.1564,2783201.37,-2.0076224307316304,5.136806226296177,3.555968579945011,6.835841652819273,12.78949747758632,16.071373432170336,-2.372034956304618,4.197201865423051,0.9032258064516208,5.890318212593104,10.686482661004955,16.28252788104089,,
28585,2020-03-13 10:00:00,5754.07,5638.55,51506629.73,0.1602,0.1564,2783201.37,-2.0076224307316304,5.136806226296177,3.555968579945011,6.835841652819273,12.78949747758632,16.071373432170336,-2.372034956304618,4.197201865423051,0.9032258064516208,5.890318212593104,10.686482661004955,16.28252788104089,,
28585,2020-03-13 10:00:00,5754.07,5638.55,51506629.73,0.1602,0.1564,2783201.37,-2.0076224307316304,5.136806226296177,3.555968579945011,6.835841652819273,12.78949747758632,16.071373432170336,-2.372034956304618,4.197201865423051,0.9032258064516208,5.890318212593104,10.686482661004955,16.28252788104089,,
28586,2020-03-13 11:00:00,5638.55,5469.36,55229768.27,0.1564,0.1554,2787184.07,-3.0005941243759566,-4.9479759544114,1.9820773961133993,0.44867427129456905,3.6301316654571765,9.405142443360697,-0.6393861892583125,-2.996254681647939,3.5309793471019315,0.25806451612903963,5.213270142180104,9.978768577494693,,
28586,2020-03-13 11:00:00,5638.55,5469.36,55229768.27,0.1564,0.1554,2787184.07,-3.0005941243759566,-4.9479759544114,1.9820773961133993,0.44867427129456905,3.6301316654571765,9.405142443360697,-0.6393861892583125,-2.996254681647939,3.5309793471019315,0.25806451612903963,5.213270142180104,9.978768577494693,,
28586,2020-03-13 11:00:00,5638.55,5469.36,55229768.27,0.1564,0.1554,2787184.07,-3.0005941243759566,-4.9479759544114,1.9820773961133993,0.44867427129456905,3.6301316654571765,9.405142443360697,-0.6393861892583125,-2.996254681647939,3.5309793471019315,0.25806451612903963,5.213270142180104,9.978768577494693,,
28586,2020-03-13 11:00:00,5638.55,5469.36,55229768.27,0.1564,0.1554,2787184.07,-3.0005941243759566,-4.9479759544114,1.9820773961133993,0.44867427129456905,3.6301316654571765,9.405142443360697,-0.6393861892583125,-2.996254681647939,3.5309793471019315,0.25806451612903963,5.213270142180104,9.978768577494693,,
28587,2020-03-13 12:00:00,5469.36,5613.97,57031879.56,0.1554,0.1585,2991585.99,2.644002223294875,-0.4359276764416371,-2.434798325359258,4.678485789828938,3.104539452297825,6.37011465069527,1.9948519948519892,1.3427109974424492,-1.0611735330836498,5.596269153897395,2.2580645161290342,7.312119160460395,,
28588,2020-03-13 13:00:00,5613.97,5668.92,81370301.13,0.1585,0.1617,4654101.05,0.9788082230578328,3.64869015753215,0.5386136506726,-1.4798221085249161,5.703087416512209,4.113735162802824,2.018927444794958,4.0540540540540535,3.388746803069053,0.936329588014982,7.728181212524982,4.322580645161297,,
28589,2020-03-13 14:00:00,5668.92,5443.36,82067082.1,0.1617,0.1552,4184982.4,-3.978888394967655,-3.0390258587060592,-0.4753755466818787,-3.4617055803353787,-5.399830033350308,1.4972795381740884,-4.019789734075452,-2.082018927444793,-0.1287001287001324,-0.7672634271099786,-3.121098626716607,3.397734843437704,,
28594,2020-03-13 19:00:00,5018.89,5433.99,80981075.9,0.1423,0.1518,6759212.11,8.270753094807805,4.239409628639226,4.094240516755862,3.6129209401831544,-0.17213632756238595,-4.144175610169138,6.676036542515798,2.360080917060016,2.498311951384187,2.0161290322580667,-2.190721649484545,-6.122448979591848,0 days 04:00:00,1.0
28595,2020-03-13 20:00:00,5433.99,5433.72,61394163.02,0.1518,0.1538,4669434.03,-0.004968724638792619,8.265373419222177,4.234230259409676,4.089068360579741,3.6077726994514268,-0.17709649922105866,1.3175230566534926,8.081517919887549,3.708698583951454,3.8487508440242966,3.360215053763444,-0.902061855670111,,
28596,2020-03-13 21:00:00,5433.72,5558.18,32885308.34,0.1538,0.1571,2116203.1,2.2905118408751286,2.285429307010144,10.745204616957134,6.6217276457465015,6.473240796435428,5.98092100119935,2.145643693107931,3.491436100131752,10.400562192550934,5.933917734322321,6.076975016880472,5.577956989247314,,
28597,2020-03-13 22:00:00,5558.18,5663.01,21775022.25,0.1571,0.1601,1548296.61,1.8860490304380195,4.219761047680041,4.214582654734374,12.833913474891856,8.632665706245369,8.481378322152535,1.9096117122851703,4.0962288686605985,5.467720685111991,12.50878425860856,7.956844234659479,8.102633355840636,,
28598,2020-03-13 23:00:00,5663.01,5632.58,42589316.34,0.1601,0.1602,3712536.53,-0.537346746694784,1.3385676606371084,3.659739552277255,3.6545889852576128,12.227604111666118,8.04893161122504,0.0624609618988237,1.97326543602802,4.161248374512365,5.5335968379446765,12.57905832747716,8.024275118004061,,
28599,2020-03-14 00:00:00,5632.58,5494.45,26040515.72,0.1602,0.158,1621075.95,-2.4523397803493268,-2.9765089590165017,-1.1465983469409136,1.1176505230302547,1.1126262654145487,9.475401931502772,-1.3732833957553103,-1.3116801998750725,0.5728835136855582,2.730819245773738,4.084321475625831,11.03302881236823,,
28644,2020-03-15 21:00:00,5193.16,5950.77,113847333.12,0.1483,0.1642,4178050.39,14.588612713646423,11.559227472638721,11.915692311164372,12.050139244296068,12.40253411306044,11.573032443864465,10.721510451786937,7.955292570677185,8.168642951251663,8.239947264337516,7.460732984293209,7.672131147540995,0 days 00:00:00,1.0
28645,2020-03-15 22:00:00,5950.77,5359.53,110727244.8,0.1642,0.1527,4751717.21,-9.935520949389753,3.203637091866992,0.47523705611733114,0.7962852559340582,0.9173741858586419,1.2347567886123556,-7.003654080389775,2.96695886716117,0.39447731755423365,0.592885375494079,0.6591957811470013,-0.06544502617800327,,
28646,2020-03-15 23:00:00,5359.53,5357.02,24994413.74,0.1527,0.1528,941739.54,-0.04683246478701134,-9.977700364826736,3.155304284867029,0.4281820261033588,0.7490798711349573,0.8701120921290733,0.06548788474131564,-6.942752740560305,3.0343897505057345,0.4602235371465998,0.6587615283267463,0.725115359261694,,
28647,2020-03-16 00:00:00,5357.02,5248.66,33349137.92,0.1528,0.1495,2253405.92,-2.02276638877586,-2.0686515422061245,-11.798641184250114,1.068713461553274,-1.6032454847792994,-1.288838653499306,-2.159685863874344,-2.095612311722337,-8.952496954933018,0.8091706001348663,-1.7094017094017218,-1.515151515151513,,
28648,2020-03-16 01:00:00,5248.66,5297.85,14508341.96,0.1495,0.151,1034560.48,0.9371915879481718,-1.1045319972671386,-1.1508471824954685,-10.972025468972923,2.015920942162393,-0.6810793786486381,1.003344481605352,-1.178010471204186,-1.1132940406024932,-8.038976857490875,1.8206338503034447,-0.7232084155161194,,
28649,2020-03-16 02:00:00,5297.85,5340.15,13076266.44,0.151,0.1525,988839.46,0.7984371018431867,1.74311157514489,-0.31491388869186226,-0.3615988715428426,-10.2611930892977,2.830453904751631,0.9933774834437095,2.006688963210704,-0.19633507853402798,-0.13097576948264947,-7.12545676004873,2.832097100472023,,
28827,2020-03-23 12:00:00,5864.63,6345.42,91242702.39,0.1501,0.158,3663757.87,8.19813014631784,7.752394763699097,9.146545985582257,9.5221903678632,8.024984550640706,6.951289398280804,5.263157894736835,5.053191489361699,6.040268456375845,6.1114842175957,4.913678618857895,4.084321475625831,0 days 04:00:00,1.0
28828,2020-03-23 13:00:00,6345.42,6304.34,102920679.44,0.158,0.1568,3737557.96,-0.6473960746491159,7.497659698906838,7.054809989658489,8.439935531256506,8.813148006551922,7.325635041019546,-0.7594936708860802,4.463690872751488,4.255319148936162,5.234899328859061,5.3055742108797785,4.116865869853906,,
